metric,architecture,mean,std,n_numeric,n_na,n_bool
recursion/avg_depth_by_op/DIV,mor,2.013272311,0.01244752168,5,0,0
recursion/avg_depth_by_op/DIV,more,2.034172387,0.04723797986,5,0,0
recursion/avg_depth_by_op/MAX,moe,1,0,5,0,0
recursion/avg_depth_by_op/MAX,mor,2.035153129,0.02506814725,5,0,0
recursion/avg_depth_by_op/MAX,more,2.101198402,0.1584127269,5,0,0
recursion/avg_depth_by_op/MEDIAN,moe,1,0,5,0,0
recursion/avg_depth_by_op/MEDIAN,mor,2.016666667,0.01235966895,5,0,0
recursion/avg_depth_by_op/MEDIAN,more,2.122309711,0.1894096811,5,0,0
recursion/avg_depth_by_op/MIN,moe,1,0,5,0,0
recursion/avg_depth_by_op/MIN,mor,2.014449696,0.005155600046,5,0,0
recursion/avg_depth_by_op/MIN,more,2.015124916,0.01294062957,5,0,0
recursion/avg_depth_by_op/MOD,moe,1,0,5,0,0
recursion/avg_depth_by_op/MOD,mor,2.018996222,0.001169966724,5,0,0
recursion/avg_depth_by_op/MOD,more,2.036481382,0.02740257058,5,0,0
recursion/avg_depth_by_op/MULT,moe,1,0,5,0,0
recursion/avg_depth_by_op/MULT,mor,1.99093702,0.02670779813,5,0,0
recursion/avg_depth_by_op/MULT,more,1.832565284,0.4033303939,5,0,0
recursion/avg_depth_by_op/NOT,moe,1,0,5,0,0
recursion/avg_depth_by_op/NOT,mor,2.028320802,0.001900470036,5,0,0
recursion/avg_depth_by_op/NOT,more,1.876691729,0.4127599655,5,0,0
recursion/avg_depth_by_op/OR,moe,1,0,5,0,0
recursion/avg_depth_by_op/OR,mor,2.045581395,0.05653243946,5,0,0
recursion/avg_depth_by_op/OR,more,2.008604651,0.02056529393,5,0,0
recursion/avg_depth_by_op/POW,moe,1,0,5,0,0
recursion/avg_depth_by_op/POW,mor,1.963114301,0.03937829596,5,0,0
recursion/avg_depth_by_op/POW,more,1.988514633,0.02661776452,5,0,0
recursion/avg_depth_by_op/SHIFT_L,moe,1,0,5,0,0
recursion/avg_depth_by_op/SHIFT_L,mor,1.856586271,0.4012805168,5,0,0
recursion/avg_depth_by_op/SHIFT_L,more,2.012430427,0.07907748399,5,0,0
recursion/avg_depth_by_op/SHIFT_R,moe,1,0,5,0,0
recursion/avg_depth_by_op/SHIFT_R,mor,2.003451777,0.003560543739,5,0,0
recursion/avg_depth_by_op/SHIFT_R,more,2.005279188,0.009260308021,5,0,0
recursion/avg_depth_by_op/SORT,moe,1,0,5,0,0
recursion/avg_depth_by_op/SORT,mor,1.998397864,0.002695144091,5,0,0
recursion/avg_depth_by_op/SORT,more,2.000934579,0.009541625567,5,0,0
recursion/avg_depth_by_op/SUB,moe,1,0,5,0,0
recursion/avg_depth_by_op/SUB,mor,2.04853229,0.03212315504,5,0,0
recursion/avg_depth_by_op/SUB,more,2.579452055,1.189711498,5,0,0
recursion/avg_depth_by_op/XOR,moe,1,0,5,0,0
recursion/avg_depth_by_op/XOR,mor,2.045363128,0.01972945189,5,0,0
recursion/avg_depth_by_op/XOR,more,2.193519553,0.3937904777,5,0,0
router_noise,moe,N/A,N/A,0,5,0
