metric,architecture,mean,std,n_numeric,n_na,n_bool
expert_load/expert_4_pct,moe,4.892845694,4.052133363,5,0,0
expert_load/expert_4_pct,mor,N/A,N/A,0,5,0
expert_load/expert_4_pct,more,16.62501782,5.340225822,5,0,0
expert_load/expert_5_pct,moe,5.845193528,6.024413792,5,0,0
expert_load/expert_5_pct,mor,N/A,N/A,0,5,0
expert_load/expert_5_pct,more,16.50661081,7.326032258,5,0,0
halt/early_exit_rate,moe,N/A,N/A,0,5,0
halt/early_exit_rate,mor,0.2672279845,0.2961305448,5,0,0
halt/early_exit_rate,more,0.01942048979,0.003033537956,5,0,0
halt/early_exits,moe,N/A,N/A,0,5,0
halt/early_exits,mor,36005742.8,39900013.66,5,0,0
halt/early_exits,more,2616676.4,408732.5944,5,0,0
halt/forced_exit_rate,moe,N/A,N/A,0,5,0
halt/forced_exit_rate,mor,0.7327720155,0.2961305448,5,0,0
halt/forced_exit_rate,more,0.9805795102,0.003033537956,5,0,0
halt/forced_exits,moe,N/A,N/A,0,5,0
halt/forced_exits,mor,98732177.2,39900013.66,5,0,0
halt/forced_exits,more,132121243.6,408732.5944,5,0,0
halt/mean_halt_mass,moe,N/A,N/A,0,5,0
halt/mean_halt_mass,mor,1,0,5,0,0
halt/mean_halt_mass,more,1,0,5,0,0
halt/mean_remainder,moe,N/A,N/A,0,5,0
halt/mean_remainder,mor,0.1703113598,0.05674890745,5,0,0
halt/mean_remainder,more,0.6094580672,0.01565609011,5,0,0
halting_mode,moe,N/A,N/A,0,5,0
halting_mode,mor,N/A,N/A,0,5,0
halting_mode,more,N/A,N/A,0,5,0
non_embedding_params,moe,3422220,0,5,0,0
non_embedding_params,mor,3418375,0,5,0,0
non_embedding_params,more,3422220,0,5,0,0
num_experts,moe,6,0,5,0,0
num_experts,mor,1,0,5,0,0
num_experts,more,6,0,5,0,0
perf/gpu_peak_alloc_gib,moe,N/A,N/A,0,5,0
perf/gpu_peak_alloc_gib,mor,7.334628677,0.290489236,5,0,0
perf/gpu_peak_alloc_gib,more,N/A,N/A,0,5,0
perf/gpu_peak_reserved_gib,moe,N/A,N/A,0,5,0
perf/gpu_peak_reserved_gib,mor,7.794921875,0.2705025242,5,0,0
perf/gpu_peak_reserved_gib,more,N/A,N/A,0,5,0
perf/throughput_items_sec,moe,N/A,N/A,0,5,0
perf/throughput_items_sec,mor,173.7715314,6.337032829,5,0,0
perf/throughput_items_sec,more,168.5384863,2.499153497,5,0,0
perf/throughput_tokens_sec,moe,718.8116254,7.202206656,5,0,0
perf/throughput_tokens_sec,mor,44485.51203,1622.280404,5,0,0
perf/throughput_tokens_sec,more,43145.8525,639.7832953,5,0,0
probe/family_ce,moe,1.908674533,0.07270714026,5,0,0
probe/family_ce,mor,1.883521885,0.03497269774,5,0,0
probe/family_ce,more,1.931452309,0.04967202784,5,0,0
prov/total_params,moe,5584908,0,5,0,0
prov/total_params,mor,5581063,0,5,0,0
prov/total_params,more,5584908,0,5,0,0
recursion/avg_depth_by_family/L1_FUNCTION,moe,1,0,5,0,0
